BOARD OF EDUCATION OF THE REGINA ROMAN CATHOLIC SEPARATE SCHOOL DIVISION NO.81 OF SASKATCHEWAN (107882524RR0001)
"Fundraising","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"If the charity carried on fundraising activities or engaged third parties to carry on fundraising activities on its behalf, tick all fundraising methods that it used during the fiscal period:"
"2500: Advertisements / print / radio / TV commercials","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2510: Auctions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2520: Bingo / casino nights","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2530: Collection plate/boxes","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2540: Door-to-door solicitation","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2550: Draws / lotteries","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Y","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a"
"2560: Fundraising dinners / galas / concerts","Y","Y","Y","Y","n/a","Y","Y","Y","Y","Y","Y","Y","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2570: Sales","n/a","n/a","n/a","n/a","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a"
"2575: Internet","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2580: Mail campaigns","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2590: Planned-giving programs","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2600: Targeted corporate donations/sponsorships","n/a","n/a","n/a","n/a","n/a","n/a","Y","Y","Y","Y","Y","Y","Y","n/a","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a"
"2610: Targeted contacts","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2620: Telephone / TV solicitations","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2630: Tournament / sporting events","n/a","n/a","n/a","n/a","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","n/a","n/a","n/a","n/a","n/a","n/a"
"2640: Cause-related marketing","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2650: Other","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2660: Specify","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"5020: How much did the charity spend on fundraising? ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2700: Did the charity pay external fundraisers?","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","n/a","N","N","N","N","N"
"5450: (a) Enter the gross revenue collected by the fundraisers on behalf of the charity ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"5460: (b) Enter the amounts paid to and/or retained by the fundraisers ($)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"n/a","n/a","n/a","n/a","n/a","n/a"
"(c) Tick the method of payment to the fundraiser:"
"2730: Commissions","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
