0,REGINA CHRISTIAN SCHOOL ASSOCIATION (107881872RR0001) Revenue,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0,2003.0
1,4500: Total eligible amount of all gifts for which the charity issued tax receipts ($),1176905,1345713,1322898,1144604,1108899,1121913,1147086,1072586,1029174,938757,938757,825908,690564,767605,458986,721809.0,633899.0,537857.0,523662.0,385195.0,351719.0,376102.0
2,5610: Total eligible amount of tax-receipted tuition fees ($),999672,1218915,0,0,0,0,0,0,0,0,0,0,0,0,0,485825.0,356331.0,352953.0,324372.0,243866.0,183989.0,114753.0
3,4505: Total amount of 10 year gifts received ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4510: Total amount received from other registered charities ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.0,312.0,0.0,1591.0,1114.0,381.0,395.0
5,4530: Total other gifts received for which a tax receipt was not issued by the charity (excluding amounts at lines 4575 and 4630) ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4540: Total revenue received from federal government ($),0,0,0,277144,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4550: Total revenue received from provincial / territorial governments ($),4823959,4399453,4158843,3936088,3734776,3345368,3274824,3446985,3098366,3035498,2857147,2779703,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4560: Total revenue received from municipal / regional governments ($),0,0,0,0,0,0,0,0,0,0,0,0,211292,161399,270120,258120.0,295145.0,228795.0,195440.0,139280.0,132349.0,121210.0
9,4571: Total tax-receipted revenue from all sources outside of Canada (government and non-government) ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4575: Total non tax-receipted revenue from all sources outside Canada (government and non-government) ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4576: Enter the amount from line 4580 that represents the total interest and other income the charity received or earned from impact investments ($),0,0,,,,,,,,,,,,,,,,,,,,
12,4577: Enter the total amount from Line 4580 that represents the total amount of interest and investment income received from persons who do not deal at arm's length with the charity ($),0,0,,,,,,,,,,,,,,,,,,,,
13,4580: Total interest and investment income received or earned ($),57346,41186,0,0,18149,22278,11762,5462,5542,2259,1404,122,391,0,356,867.0,1686.0,912.0,0.0,0.0,0.0,0.0
14,4590: Gross proceeds from disposition of assets ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4600: Net proceeds from disposition of assets ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4610: Gross income received from rental of land and/or buildings ($),279346,56044,60773,57229,31082,36246,43148,40038,59360,65676,71915,62905,41563,26244,10922,13055.0,19640.0,16480.0,15805.0,25244.0,15393.0,1091.0
17,"4620: Total non tax-receipted revenues received for memberships, dues and association fees ($)",0,0,0,0,1163086,1261508,1121961,889374,672652,624396,411321,438262,594578,673117,862672,399954.0,505027.0,396997.0,468823.0,397320.0,305921.0,275461.0
18,4630: Total non tax-receipted revenue from fundraising ($),62680,38606,16029,20710,30396,32342,79783,130359,156013,179046,192073,375602,474674,586019,650116,827264.0,1021428.0,1061223.0,1095812.0,768875.0,433700.0,87005.0
19,4640: Total revenue from sale of goods and services (except to any level of government in Canada) ($),2273183,1833226,1347595,85561,72816,95056,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4650: Other revenue not already included in the amounts above ($),9835,18765,50006,75991,40045,201337,331003,284442,306071,261512,142897,77213,72269,104058,74854,91905.0,78022.0,87102.0,18294.0,37723.0,41845.0,0.0
21,4655: Specify type(s) of revenue included in the amount reported at 4650,other revenue,other revenue,other revenue,"other, canteen","other, canteen","athletics, canteen","athletics, canteen, after school care","athletics, canteen, after school care","athletics, canteen, after school care","athletics, canteen, after school care","athletics, canteen, after school care","after school, athletics","after school, athletics","after school, athletics","after school, athletics",,,,,,,
22,4700: Total revenue ($),8683254,7732993,6956144,5597327,6199249,6116048,6009567,5869246,5327178,5107144,4615514,4559715,2085331,2318442,2328026,2313435.0,2555159.0,2329366.0,2319427.0,1754751.0,1281308.0,861264.0
